0,1,id,cluster_id,cluster_name,attributes
36.081852,-4.629544,93,1,Stouts,"@rojosroastery, autumnal, boiled, boiled overnight, coffee, conditioned, imperial, imperial sweet stout, lactose, maple, maple syrup, spices, stout, sumatra, sweet, syrup, tahitian vanilla, vanilla"
24.570267,1.565177,95,3,IPAs Conditioned On,"dry hopped, hopped, ipa, lupulin, mosaic, pellets, powder, session, session ipa"
16.721058,11.973649,96,3,IPAs Conditioned On,dipa
21.870008,3.7468693,97,3,IPAs Conditioned On,"ale, kettle soured, nectarines, peaches, refermented, soured, wheat"
-20.498455,-2.7494946,100,0,Hoppy Ales,"ale, hoppy, hoppy ale"
38.078106,-4.293279,101,1,Stouts,"cacao, cacao nibs, cinnamon, conditioned, imperial, imperial milk stout, lactose, milk, milk stout, pepper, stout, tahitian vanilla, vanilla"
2.2133434,2.0896423,104,0,Hoppy Ales,"ale, honey, hoppy, hoppy ale"
17.193285,11.933454,105,3,IPAs Conditioned On,russell
31.362232,-2.697905,107,1,Stouts,"acid, ale, ascorbic, citric, citric acid, conditioned, confection, corn, dextrin, fruit, fruit juice, fruit juice concentrate, gelatin, hoppy, hoppy ale, hydrogenated, juice, natural, palm kernel oil, starch, sugar, syrup"
30.323019,-2.908039,109,2,Sours,"ale, dry hopped, extra pale ale, hopped, lupulin, pale, pale ale, powder, simcoe"
3.131492,2.6590626,111,0,Hoppy Ales,"ale, citra, galaxy, hoppy, hoppy ale"
19.305304,10.416226,112,3,IPAs Conditioned On,"flower, spiced, vic secret"
17.40495,12.913655,116,3,IPAs Conditioned On,"enigma, hopped"
20.485924,8.12186,117,3,IPAs Conditioned On,"amarillo, citra, hopped, ipa, mosaic, triple, triple ipa"
30.05739,-3.4071748,120,2,Sours,"ale, coconut, conditioned, dessert, juice, key lime, lactose, lime zest, toasted"
5.234596,4.0131874,121,0,Hoppy Ales,"ale, american, barleywine, barleywine style ale"
-20.498455,-2.7494946,124,0,Hoppy Ales,"ale, hoppy, hoppy ale"
17.630424,14.018867,128,3,IPAs Conditioned On,"citra, enigma, hopped, ipa"
25.942877,-11.093223,130,2,Sours,"ale, coconut, conditioning, kettle soured, kettle soured ale, lactose, pineapple, refermented, soured, soured ale, untoasted, untoasted coconut"
18.965097,12.130337,134,3,IPAs Conditioned On,"eureka, hopped, lactose, oats, simcoe"
18.658289,14.407427,140,3,IPAs Conditioned On,"ariana, belma, hopped, lupulin, powder, simcoe"
-20.498455,-2.7494946,142,0,Hoppy Ales,"ale, hoppy, hoppy ale"
4.2907624,3.306301,143,0,Hoppy Ales,"ale, smoothie, smoothie ale"
37.13037,-3.42202,144,1,Stouts,"@rojosroastery, boiled, boiled overnight, coffee, conditioning, guatemalan, guatemalan coffee, imperial, imperial milk stout, lactose, milk, milk stout, palo santo wood, stout"
23.020523,-6.8840494,145,2,Sours,"ale, conditioned, hoppy, hoppy ale, lactose, madagascar vanilla, refermented, strawberry, vanilla, vanilla bean"
25.20165,0.6972315,146,3,IPAs Conditioned On,"cinnamon, conditioned, ginger, imperial, imperial porter, lactose, madagascar vanilla, molasses, porter, vanilla"
26.699348,-11.348803,148,2,Sours,"ale, blueberry, boysenberry, cherry, cinnamon, conditioned, kettle soured, kettle soured ale, lactose, raspberry, refermented, soured, soured ale, tahitian vanilla, vanilla"
13.891122,13.583894,149,3,IPAs Conditioned On,"ale, galaxy, hoppy, session"
-20.498455,-2.7494946,150,0,Hoppy Ales,"ale, hoppy, hoppy ale"
22.63019,-3.4571028,151,2,Sours,"ale, extra pale ale, galaxy, hopped, huell, melon, pale, pale ale"
15.465031,13.348851,154,3,IPAs Conditioned On,"ales, lassi, mango, smoothie"
26.771997,-10.732649,157,2,Sours,"ale, coconut, conditioned, guava, kettle soured, kettle soured ale, lactose, mango, refermented, soured, soured ale, untoasted, untoasted coconut"
-20.498455,-2.7494946,158,0,Hoppy Ales,"ale, hoppy, hoppy ale"
35.23155,-3.6797938,159,1,Stouts,"beans, cinnamon, coffee, hot, hot peppers, imperial, imperial milk porter, milk, milk porter, peppers, porter, vanilla"
16.397144,14.044198,162,3,IPAs Conditioned On,"hopped, keller, kohatu, medusa, pilsner"
-20.498455,-2.7494946,165,0,Hoppy Ales,"ale, hoppy, hoppy ale"
16.628159,12.739449,168,3,IPAs Conditioned On,"dipa, spelt"
-20.498455,-2.7494946,176,0,Hoppy Ales,"ale, hoppy, hoppy ale"
18.20234,11.993395,178,3,IPAs Conditioned On,"galaxy, hopped, ipa, lactose, medusa"
25.488878,-11.457289,179,2,Sours,"ale, conditioned, fresh, kettle soured, kettle soured ale, lactose, lemon zest, mango, refermented, soured, soured ale, strawberry"
-20.498455,-2.7494946,180,0,Hoppy Ales,"ale, hoppy, hoppy ale"
3.0168912,2.1229527,181,0,Hoppy Ales,"ale, hoppy, hoppy ale, oats"
24.308973,-7.9864335,182,2,Sours,"ale, dry hopped, hibiscus, hopped, kettle soured, kettle soured ale, lactose, motueka, nelson, nelson sauvin, sauvin, soured, soured ale"
34.114613,-2.919895,183,1,Stouts,"coconut, conditioned, imperial, imperial milk stout, milk, milk stout, organic, stout"
-20.498455,-2.7494946,184,0,Hoppy Ales,"ale, hoppy, hoppy ale"
2.6301556,2.6733046,186,0,Hoppy Ales,"ale, flowers, hoppy, hoppy ale"
-20.498455,-2.7494946,187,0,Hoppy Ales,"ale, hoppy, hoppy ale"
1.5352912,2.6421373,192,0,Hoppy Ales,"ale, hoppy, hoppy ale, sessionable"
17.660002,12.269259,193,3,IPAs Conditioned On,"denali, hopped"
37.279713,-3.979417,194,1,Stouts,"cinnamon, coffee, imperial, imperial milk stout, maple, maple syrup, milk, milk stout, stout, syrup"
21.717531,6.301481,196,3,IPAs Conditioned On,"fermented, honey, sugars, wildflower honey"
16.161873,14.737756,197,3,IPAs Conditioned On,"creamy, hops, ipa"
31.547798,-3.2762587,198,1,Stouts,"boiled, cacao, cacao nibs, chocolate, conditioning, imperial, lactose, milk, stout, sweet"
26.0753,-10.571549,199,2,Sours,"ale, fruit, kettle soured, kettle soured ale, lactose, mango, passion fruit, refermented, soured, soured ale"
27.302778,-11.155423,201,2,Sours,"ale, balanced, blackberry, conditioning, kettle soured, kettle soured ale, lactose, madagascar vanilla, refermented, soured, soured ale, strawberry, tahitian madagascar vanilla, vanilla"
32.63238,-2.6249344,203,1,Stouts,"coffee, conditioned, imperial, imperial milk stout, milk, milk stout, stout"
14.411643,14.577973,206,3,IPAs Conditioned On,"ale, fermentation"
25.838139,-0.682637,207,3,IPAs Conditioned On,"aged, barrel, barrels, conditioned, rye, rye whisky barrels, sessionable, stout, whisky"
17.44999,14.544701,209,3,IPAs Conditioned On,"citra, hopped, ipa"
35.51685,-3.280411,211,1,Stouts,"cinnamon, coffee, imperial, imperial milk stout, milk, milk stout, peppers, stout"
32.63238,-2.6249344,212,1,Stouts,"@rojosroastery, coffee, conditioned, imperial, imperial milk stout, milk, milk stout, oaxaca, stout, yaitepec"
-17.434778,-2.0079713,213,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,216,0,Hoppy Ales,"ale, hoppy, hoppy ale"
25.734705,-11.753207,217,2,Sours,"ale, conditioned, kettle soured, kettle soured ale, lactose, madagascar vanilla, mango, refermented, soured, soured ale, tahitian madagascar vanilla, vanilla"
31.322916,-1.926442,218,1,Stouts,"@lairdsapplejack, aged, barrels, imperial, imperial milk stout, milk, milk stout, stout"
-17.434778,-2.0079713,221,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.434778,-2.0079713,225,0,Hoppy Ales,"ale, hoppy, hoppy ale"
20.490572,-1.0674789,227,0,Hoppy Ales,"ale, conditioned, hoppy, hoppy ale, lactose, madagascar vanilla, vanilla"
-17.691992,-5.244769,228,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.691992,-5.244769,229,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.313396,-4.705045,230,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.41924,0.70992315,231,0,Hoppy Ales,"ale, hoppy, hoppy ale"
38.274258,-3.7775447,232,1,Stouts,"banana, black walnut, cinnamon, conditioned, imperial, imperial milk stout, lactose, milk, milk stout, stout, tahitian vanilla, vanilla"
-16.57598,-3.44388,233,0,Hoppy Ales,"ale, hoppy, hoppy ale"
35.0764,-5.324566,234,1,Stouts,"ale, boiled, boiled overnight, butterscotch candies, conditioned, imperial, imperial mild ale, lactose, madagascar vanilla, malt, maris, marshmallows, mild, peanut, vanilla"
29.5104,-2.4199345,235,2,Sours,"conditioned, dry hopped, fresh, grapefruit, hopped, lager, lime zest, motueka, salt, sea salt"
-16.57598,-3.44388,237,0,Hoppy Ales,"ale, hoppy, hoppy ale"
24.4029,-11.25731,238,2,Sours,"ale, guava, kettle soured, kettle soured ale, lactose, mango, refermented, soured, soured ale, tahitian vanilla, vanilla"
17.142868,10.735434,239,3,IPAs Conditioned On,"dragon, fruit, lager, pineapple, refermented"
-16.57598,-3.44388,240,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.43095,-1.3775384,241,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.43095,-1.3775384,242,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-16.57598,-3.44388,243,0,Hoppy Ales,"ale, hoppy, hoppy ale"
37.791832,-2.9430733,244,1,Stouts,"@rojosroastery, autumnal, black walnut, coffee, conditioned, imperial, imperial milk stout, lactose, milk, milk stout, spices, stout, sumatran, sumatran coffee"
-15.43095,-1.3775384,245,0,Hoppy Ales,"ale, hoppy, hoppy ale"
28.09124,-1.2555149,246,3,IPAs Conditioned On,"banana, butter, conditioned, imperial, imperial stout, lactose, marshmallow, peanut, stout, tahitian vanilla, vanilla"
-17.435087,-0.03923046,247,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.43095,-1.3775384,248,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.43095,-1.3775384,250,0,Hoppy Ales,"ale, hoppy, hoppy ale"
23.7222,-9.977205,251,2,Sours,"ale, conditioned, kettle soured, kettle soured ale, mango, refermented, soured, soured ale, tahitian vanilla, vanilla"
25.353333,-9.750696,252,2,Sours,"ale, fruit, guava, kettle soured, kettle soured ale, passion fruit, refermented, soured, soured ale, tangerine"
22.332891,-5.4011436,253,2,Sours,"ale, conditioned, fresh, hoppy, hoppy ale, lactose, madagascar vanilla, orange zest, vanilla"
24.168726,1.4133276,254,3,IPAs Conditioned On,"@rojosroastery, beans, colombian, conditioned, ethiopian, imperial, imperial stout, madagascar vanilla, stout, vanilla"
20.942516,6.550504,255,3,IPAs Conditioned On,"@rojosroastery, coffee, conditioned, imperial, imperial stout, mexican, stout"
24.209024,-10.603492,256,2,Sours,"ale, blackberry, kettle soured, kettle soured ale, lactose, raspberry, refermented, soured, soured ale, tahitian vanilla, vanilla"
-17.435087,-0.03923046,257,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-14.055076,-3.064468,258,0,Hoppy Ales,"ale, hoppy, hoppy ale"
26.524775,-11.806757,259,2,Sours,"ale, cherry, cinnamon, coconut, conditioned, granola, kettle soured, kettle soured ale, lactose, maple, raspberry, refermented, soured, soured ale"
-18.518686,-5.9096465,260,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-16.540129,-5.1156406,261,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-19.576117,0.76230997,262,0,Hoppy Ales,"ale, hoppy, hoppy ale"
26.321005,-10.172012,263,2,Sours,"ale, fruit, kettle soured, kettle soured ale, lactose, passion fruit, peach, refermented, soured, soured ale"
-16.78594,-1.906212,264,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.760432,-5.384633,265,0,Hoppy Ales,"ale, hoppy, hoppy ale"
23.458628,-7.946369,266,2,Sours,"ale, coconut, conditioned, fresh, hoppy, hoppy ale, lactose, lemon zest, madagascar vanilla, vanilla"
21.231377,3.4761689,267,3,IPAs Conditioned On,"bicoastal, fermented, hoppy ale, og, west coast"
30.89415,-3.5483143,268,2,Sours,"cacao, cacao nibs, cinnamon, conditioned, hot, hot peppers, imperial, imperial stout, peppers, stout, tahitian vanilla, vanilla"
-18.861944,1.4759885,269,0,Hoppy Ales,"ale, hoppy, hoppy ale"
24.691725,-10.888937,270,2,Sours,"ale, conditioned, kettle soured, kettle soured ale, lactose, mango, refermented, soured, soured ale, tahitian vanilla, vanilla"
22.236696,-6.03759,271,2,Sours,"ale, guava, kettle soured, kettle soured ale, refermented, soured, soured ale, strawberry"
-17.435087,-0.03923046,272,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-14.888688,-3.6461496,273,0,Hoppy Ales,"ale, hoppy, hoppy ale"
37.57332,-4.590082,274,1,Stouts,"@rojosroastery, cinnamon, coffee, conditioned, imperial, imperial milk stout, lactose, maple, maple syrup, milk, milk stout, stout, syrup"
-15.43095,-1.3775384,275,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-16.57598,-3.44388,276,0,Hoppy Ales,"ale, hoppy, hoppy ale"
24.040491,-9.433281,277,2,Sours,"ale, coconut, conditioned, kettle soured, kettle soured ale, lactose, pineapple, refermented, soured, soured ale"
24.461866,-0.9278932,278,2,Sours,"clementine, clementine zest, conditioned, fresh clementine zest, hoppy ale, immodest amount, lactose, madagascar vanilla"
-17.759975,-4.4540496,279,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-14.537684,-4.3105993,280,0,Hoppy Ales,"ale, hoppy, hoppy ale"
20.027628,8.140413,281,3,IPAs Conditioned On,"@rojosroastery, baltic, baltic porter, coffee, conditioned, porter"
-16.57598,-3.44388,282,0,Hoppy Ales,"ale, hoppy, hoppy ale"
19.01677,5.975515,283,3,IPAs Conditioned On,"ale, black currant, kettle-soured, lactose, raspberry, refermented"
19.250208,9.00457,284,3,IPAs Conditioned On,"chamomile, conditioned, lager, mandarin, mandarin zest, satsuma"
-16.57598,-3.44388,285,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-16.57598,-3.44388,286,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-16.57598,-3.44388,287,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-16.57598,-3.44388,288,0,Hoppy Ales,"ale, hoppy, hoppy ale"
27.932333,-9.740658,289,2,Sours,"cherry, conditioned, granola, lactose, maple, maple syrup, refermented, sour, sour ale, tahitian vanilla, tart cherry, vanilla"
-15.43095,-1.3775384,290,0,Hoppy Ales,"ale, hoppy, hoppy ale"
38.04586,-3.3576698,291,1,Stouts,"cinnamon, coconut, conditioned, imperial, imperial milk stout, lactose, milk, milk stout, stout, toasted, toasted coconut"
-16.57598,-3.44388,292,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.43095,-1.3775384,293,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.43095,-1.3775384,294,0,Hoppy Ales,"ale, hoppy, hoppy ale"
22.328226,-4.5149493,295,2,Sours,"ale, conditioned, guava, lactose, refermented, sour, sour ale, tahitian vanilla, vanilla"
-15.43095,-1.3775384,296,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-15.43095,-1.3775384,297,0,Hoppy Ales,"ale, hoppy, hoppy ale"
30.623121,-4.6568894,298,2,Sours,"brewed, coffee, cold-steeped, cold-steeped coffee, conditioned, hazelnut, lactose, stout, sweet, sweet stout, tahitian vanilla, vanilla"
-17.435087,-0.03923046,299,0,Hoppy Ales,"ale, hoppy, hoppy ale"
34.657967,-4.8712807,300,1,Stouts,"@rojosroastery, coffee, conditioned, imperial stout, imperial sweet stout, lactose, madagascar vanilla, maple, maple syrup, pumpkin, pumpkin spice, vanilla"
-17.435087,-0.03923046,301,0,Hoppy Ales,"ale, hoppy, hoppy ale"
23.267454,-9.402229,302,2,Sours,"ale, blueberry, brewed, conditioned, fresh, hibiscus, lactose, orange zest, refermented, sour, sour ale"
-17.435087,-0.03923046,303,0,Hoppy Ales,"ale, hoppy, hoppy ale"
24.21155,-8.619004,304,2,Sours,"ale, brewed, fruit, lactose, passion fruit, refermented, sour, sour ale, strawberry"
20.441578,5.1203537,305,3,IPAs Conditioned On,"@bonnplace, collaboration, pale ale, unfiltered, west coast"
35.30251,-4.3656282,306,1,Stouts,"barrel aged, bourbon, coconut, conditioned, imperial stout, lactose, madagascar vanilla, madagascar vanilla beans, toasted coconut, vanilla, vanilla beans"
-17.435087,-0.03923046,307,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,308,0,Hoppy Ales,"ale, hoppy, hoppy ale"
23.580563,-8.795657,309,2,Sours,"ale, brewed, conditioned, fresh, hoppy, hoppy ale, lactose, lime zest, marshmallows, tahitian vanilla, vanilla"
-17.435087,-0.03923046,310,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,311,0,Hoppy Ales,"ale, hoppy, hoppy ale"
22.91373,0.20886573,312,3,IPAs Conditioned On,"conditioned, guava, gummies, lactose, refermented, sour ale, strawberry, strawberry gummies"
-17.435087,-0.03923046,313,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,314,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,316,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,317,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,318,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,319,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,320,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-17.435087,-0.03923046,321,0,Hoppy Ales,"ale, hoppy, hoppy ale"
29.928562,-1.9881399,322,2,Sours,"aged, barleywine, barleywine ale, bourbon, bourbon barrels, conditioned, dulce de leche, lactose, madagascar, madagascar vanilla, medican vanilla, mexican, ugandan, ugandan vanilla, vanilla, vanilla beans"
-14.839389,-2.9885738,323,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-13.805151,-2.0621097,324,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-13.499229,-0.30660328,325,0,Hoppy Ales,"ale, hoppy, hoppy ale"
25.450884,-0.07584728,326,3,IPAs Conditioned On,"brewed, coconut, conditioned, imperial, imperial stout, lactose, stout, toasted, toasted coconut"
-16.883417,-5.965932,327,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-12.892495,1.9922355,328,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-11.33615,-2.6928844,329,0,Hoppy Ales,"ale, hoppy, hoppy ale"
2.2133434,2.0896423,330,0,Hoppy Ales,"ale, honey, hoppy, hoppy ale, refermented"
-20.498455,-2.7494946,331,0,Hoppy Ales,"ale, hoppy, hoppy ale"
21.736645,-4.4289975,332,2,Sours,"ale, brewed, conditioned, lactose, marshmallow, pineapple, refermented, sour, sour ale"
-20.498455,-2.7494946,333,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,334,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,335,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,336,0,Hoppy Ales,"ale, hoppy, hoppy ale"
21.90612,-3.9737334,337,2,Sours,"ale, brewed, lactose, peach, refermented, sour, sour ale, strawberry"
22.946333,-8.641143,338,2,Sours,"ale, brewed, conditioned, lactose, madagascar, madagascar vanilla, mango, refermented, sour, sour ale, vanilla"
-20.498455,-2.7494946,339,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,340,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,341,0,Hoppy Ales,"ale, hoppy, hoppy ale"
14.1264105,14.174317,342,3,IPAs Conditioned On,"hoppy, lager"
-20.498455,-2.7494946,343,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,344,0,Hoppy Ales,"ale, hoppy, hoppy ale"
24.742035,0.058305513,345,3,IPAs Conditioned On,"conditioned, fresh, hibiscus, lime zest, pilsner, salt, sea salt"
-20.498455,-2.7494946,346,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,347,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,348,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,349,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,350,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,351,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,352,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,353,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,354,0,Hoppy Ales,"ale, hoppy, hoppy ale"
34.687977,-3.9541364,355,1,Stouts,"banana, coconut, dried, dried banana, imperial, imperial stout, lactose, madagascar vanilla, raw, raw coconut, stout, toasted, toasted coconut, vanilla"
-20.498455,-2.7494946,356,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,357,0,Hoppy Ales,"ale, hoppy, hoppy ale"
-20.498455,-2.7494946,358,0,Hoppy Ales,"ale, hoppy, hoppy ale"
28.538582,-2.0512695,359,2,Sours,"@rojosroastery, brewed, cinnamon, coffee, conditioned, lactose, maple, maple syrup, porter, syrup"
5.2441454,1.8349648,360,0,Hoppy Ales,"ale, honey, hoppy, hoppy ale, refermented, wildflower honey"
